Player,From,To,Pos,Ht,Wt,Birth Date,College,Active,Hall Of Fame
Alaa Abdelnaby,1991,1995,F-C,6-10,240,"June 24, 1968",Duke University,False,False
Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,"April 7, 1946",Iowa State University,False,False
Kareem Abdul-Jabbar,1970,1989,C,7-2,225,"April 16, 1947","University of California, Los Angeles",False,True
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,"March 9, 1969",Louisiana State University,False,False
Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974",San Jose State University,False,False
Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",University of California,False,False
Tom Abernethy,1977,1981,F,6-7,220,"May 6, 1954",Indiana University,False,False
Forest Able,1957,1957,G,6-3,180,"July 27, 1932",Western Kentucky University,False,False
John Abramovic,1947,1948,F,6-3,195,"February 9, 1919",Salem International University,False,False
Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine University,False,False
Don Ackerman,1954,1954,G,6-0,183,"September 4, 1930",Long Island University,False,False
Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts University,False,False
Bud Acton,1968,1968,F,6-6,210,"January 11, 1942",Hillsdale College,False,False
Quincy Acy,2013,2016,F,6-7,240,"October 6, 1990",Baylor University,True,False
Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954",University of Oklahoma,False,False
Don Adams,1971,1977,F,6-6,210,"November 27, 1947",Northwestern University,False,False
George Adams,1973,1975,F-G,6-5,210,"May 15, 1949",Gardner-Webb University,False,False
Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984",University of Arizona,False,False
Jordan Adams,2015,2016,G,6-5,209,"July 8, 1994","University of California, Los Angeles",True,False
Michael Adams,1986,1996,G,5-10,162,"January 19, 1963",Boston College,False,False
Steven Adams,2014,2016,C,7-0,255,"July 20, 1993",University of Pittsburgh,True,False
Rafael Addison,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse University,False,False
Rick Adelman,1969,1975,G,6-1,175,"June 16, 1946",Loyola Marymount University,False,False
Jeff Adrien,2011,2015,F,6-7,245,"February 10, 1986",University of Connecticut,False,False
Arron Afflalo,2008,2016,G,6-5,210,"October 15, 1985","University of California, Los Angeles",True,False
Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",Michigan State University,False,False
Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul University,False,False
Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984",Missouri State University,False,False
Danny Ainge,1982,1995,G,6-4,175,"March 17, 1959",Brigham Young University,False,False
Matthew Aitch,1968,1968,F,6-7,230,"September 21, 1944",Michigan State University,False,False
Alexis Ajinca,2009,2016,C,7-2,248,"May 6, 1988",,True,False
Henry Akin,1967,1969,C-F,6-10,225,"July 31, 1944",Morehead State University,False,False
Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986","California State University, Fullerton",True,False
Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",Florida State University,True,False
Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",Duke University,False,False
